Symbol,Sector,Location,Founded
ADBE,Information Technology,California,1982
AZO,Consumer Discretionary,Tennessee,1979
BLK,Financials,New York,1988
BKNG,Consumer Discretionary,Connecticut,1996
AVGO,Information Technology,California,1961
CMG,Consumer Discretionary,California,1993
CTAS,Industrials,Ohio,1929
COST,Consumer Staples,Washington,1976
DPZ,Consumer Discretionary,Michigan,1960
ELV,Health Care,Indiana,2014
LLY,Health Care,Indiana,1876
EQIX,Real Estate,California,1998
FDS,Financials,Connecticut,1978
FICO,Information Technology,Montana,1956
IT,Information Technology,Connecticut,1979
IDXX,Health Care,Maine,1983
INTU,Information Technology,California,1983
KLAC,Information Technology,California,1975
LRCX,Information Technology,California,1980
LIN,Materials,United Kingdom,1879
LMT,Industrials,Maryland,1995
LULU,Consumer Discretionary,Canada,1998
MLM,Materials,North Carolina,1993
MA,Financials,New York,1966
MCK,Health Care,Texas,1833
META,Communication Services,California,2004
MTD,Health Care,Ohio,1945
MPWR,Information Technology,Washington,1997
MSCI,Financials,New York,1969
NFLX,Communication Services,California,1997
NOC,Industrials,Virginia,1994
NVDA,Information Technology,California,1993
NVR,Consumer Discretionary,Virginia,1980
ORLY,Consumer Discretionary,Missouri,1957
ODFL,Industrials,North Carolina,1934
PH,Industrials,Ohio,1917
REGN,Health Care,New York,1988
ROP,Information Technology,Florida,1981
SPGI,Financials,New York,1917
NOW,Information Technology,California,2003
SNPS,Information Technology,California,1986
TDY,Information Technology,California,1960
TMO,Health Care,Massachusetts,2006
TDG,Industrials,Ohio,1993
TYL,Information Technology,Texas,1966
ULTA,Consumer Discretionary,Illinois,1990
URI,Industrials,Connecticut,1997
UNH,Health Care,Minnesota,1977
VRTX,Health Care,Massachusetts,1989
GWW,Industrials,Illinois,1927
