Symbol,tDate,Price
ADBE,2024-02-20,541.91
ADBE,2024-02-21,538.52
ADBE,2024-02-22,537.57
ADBE,2024-02-23,553.44
ADBE,2024-02-26,560.48
ADBE,2024-02-27,552.49
ADBE,2024-02-28,551.82
ADBE,2024-02-29,560.28
AVGO,2024-02-20,1226.55
AVGO,2024-02-21,1227.45
AVGO,2024-02-22,1304.9
AVGO,2024-02-23,1296.37
AVGO,2024-02-26,1309.13
AVGO,2024-02-27,1296.23
AVGO,2024-02-28,1289.42
AVGO,2024-02-29,1300.49
AZO,2024-02-20,2696.15
AZO,2024-02-21,2729.69
AZO,2024-02-22,2758.77
AZO,2024-02-23,2756.34
AZO,2024-02-26,2770.46
AZO,2024-02-27,2954.99
AZO,2024-02-28,3011.62
AZO,2024-02-29,3006.02
BKNG,2024-02-20,3700.86
BKNG,2024-02-21,3741.13
BKNG,2024-02-22,3901.99
BKNG,2024-02-23,3505.96
BKNG,2024-02-26,3499.75
BKNG,2024-02-27,3478.12
BKNG,2024-02-28,3495.63
BKNG,2024-02-29,3468.83
BLK,2024-02-20,798.11
BLK,2024-02-21,805.45
BLK,2024-02-22,813.44
BLK,2024-02-23,813.59
BLK,2024-02-26,806.03
BLK,2024-02-27,800.54
BLK,2024-02-28,809.66
BLK,2024-02-29,811.34
CMG,2024-02-20,2580.2
CMG,2024-02-21,2569.48
CMG,2024-02-22,2627.37
CMG,2024-02-23,2646.72
CMG,2024-02-26,2660.45
CMG,2024-02-27,2645.24
CMG,2024-02-28,2671.72
CMG,2024-02-29,2688.77
COST,2024-02-20,725.69
COST,2024-02-21,723.02
COST,2024-02-22,734.4
COST,2024-02-23,737.93
COST,2024-02-26,745.35
COST,2024-02-27,744.71
COST,2024-02-28,747.96
COST,2024-02-29,743.89
CTAS,2024-02-20,614.64
CTAS,2024-02-21,618.66
CTAS,2024-02-22,627.1
CTAS,2024-02-23,633.1
CTAS,2024-02-26,633.94
CTAS,2024-02-27,628.15
CTAS,2024-02-28,630.72
CTAS,2024-02-29,628.61
DPZ,2024-02-20,417.15
DPZ,2024-02-21,420.76
DPZ,2024-02-22,428.01
DPZ,2024-02-23,433.65
DPZ,2024-02-26,459.0
DPZ,2024-02-27,446.27
DPZ,2024-02-28,446.37
DPZ,2024-02-29,448.35
ELV,2024-02-20,508.91
ELV,2024-02-21,509.38
ELV,2024-02-22,512.17
ELV,2024-02-23,514.09
ELV,2024-02-26,506.55
ELV,2024-02-27,507.41
ELV,2024-02-28,503.11
ELV,2024-02-29,501.25
EQIX,2024-02-20,850.591
EQIX,2024-02-21,860.533
EQIX,2024-02-22,876.544
EQIX,2024-02-23,878.007
EQIX,2024-02-26,873.36
EQIX,2024-02-27,873.05
EQIX,2024-02-28,891.87
EQIX,2024-02-29,888.82
FDS,2024-02-20,455.89
FDS,2024-02-21,452.387
FDS,2024-02-22,457.896
FDS,2024-02-23,462.486
FDS,2024-02-26,458.095
FDS,2024-02-27,460.56
FDS,2024-02-28,465.99
FDS,2024-02-29,462.58
FICO,2024-02-20,1259.2
FICO,2024-02-21,1246.56
FICO,2024-02-22,1288.26
FICO,2024-02-23,1282.33
FICO,2024-02-26,1288.25
FICO,2024-02-27,1276.03
FICO,2024-02-28,1274.63
FICO,2024-02-29,1269.91
GWW,2024-02-20,935.15
GWW,2024-02-21,941.04
GWW,2024-02-22,958.18
GWW,2024-02-23,958.93
GWW,2024-02-26,963.63
GWW,2024-02-27,969.54
GWW,2024-02-28,974.7
GWW,2024-02-29,973.46
IDXX,2024-02-20,551.21
IDXX,2024-02-21,554.77
IDXX,2024-02-22,571.31
IDXX,2024-02-23,576.29
IDXX,2024-02-26,569.87
IDXX,2024-02-27,575.07
IDXX,2024-02-28,571.68
IDXX,2024-02-29,575.23
INTU,2024-02-20,645.91
INTU,2024-02-21,638.27
INTU,2024-02-22,657.92
INTU,2024-02-23,659.81
INTU,2024-02-26,663.84
INTU,2024-02-27,669.36
INTU,2024-02-28,659.16
INTU,2024-02-29,662.89
IT,2024-02-20,445.0
IT,2024-02-21,440.76
IT,2024-02-22,453.46
IT,2024-02-23,460.64
IT,2024-02-26,460.97
IT,2024-02-27,461.05
IT,2024-02-28,465.69
IT,2024-02-29,465.56
KLAC,2024-02-20,651.77
KLAC,2024-02-21,651.92
KLAC,2024-02-22,683.77
KLAC,2024-02-23,668.82
KLAC,2024-02-26,683.82
KLAC,2024-02-27,677.58
KLAC,2024-02-28,673.0
KLAC,2024-02-29,682.3
LIN,2024-02-20,435.96
LIN,2024-02-21,439.46
LIN,2024-02-22,447.03
LIN,2024-02-23,447.56
LIN,2024-02-26,444.94
LIN,2024-02-27,444.8
LIN,2024-02-28,451.2
LIN,2024-02-29,448.82
LLY,2024-02-20,755.66
LLY,2024-02-21,745.91
LLY,2024-02-22,769.64
LLY,2024-02-23,769.54
LLY,2024-02-26,771.92
LLY,2024-02-27,765.0
LLY,2024-02-28,757.64
LLY,2024-02-29,753.68
LMT,2024-02-20,421.18
LMT,2024-02-21,424.436
LMT,2024-02-22,425.766
LMT,2024-02-23,427.98
LMT,2024-02-26,426.054
LMT,2024-02-27,427.295
LMT,2024-02-28,429.33
LMT,2024-02-29,428.24
LRCX,2024-02-20,900.44
LRCX,2024-02-21,901.93
LRCX,2024-02-22,944.36
LRCX,2024-02-23,928.5
LRCX,2024-02-26,938.76
LRCX,2024-02-27,930.73
LRCX,2024-02-28,922.67
LRCX,2024-02-29,938.25
LULU,2024-02-20,444.6
LULU,2024-02-21,443.46
LULU,2024-02-22,455.26
LULU,2024-02-23,457.89
LULU,2024-02-26,468.25
LULU,2024-02-27,467.84
LULU,2024-02-28,464.14
LULU,2024-02-29,467.09
MA,2024-02-20,451.75
MA,2024-02-21,459.05
MA,2024-02-22,471.56
MA,2024-02-23,473.42
MA,2024-02-26,474.51
MA,2024-02-27,474.75
MA,2024-02-28,478.85
MA,2024-02-29,474.76
MCK,2024-02-20,506.14
MCK,2024-02-21,506.819
MCK,2024-02-22,509.696
MCK,2024-02-23,515.629
